timestamp,value,anomaly_score,label,S(t)_standard,S(t)_reward_low_FP_rate,S(t)_reward_low_FN_rate
2014-02-14 14:27:00,2.296,0.0,0,-0.11,-0.22,-0.11
2014-02-14 14:32:00,2.144,0.0,0,-0.11,-0.22,-0.11
2014-02-14 14:37:00,2.274,0.0,0,-0.11,-0.22,-0.11
2014-02-14 14:42:00,2.066,0.0,0,-0.11,-0.22,-0.11
2014-02-14 14:47:00,2.35,0.0,0,-0.11,-0.22,-0.11
2014-02-14 14:52:00,2.136,0.0,0,-0.11,-0.22,-0.11
2014-02-14 14:57:00,2.366,0.0,0,-0.11,-0.22,-0.11
2014-02-14 15:02:00,2.252,0.0,0,-0.11,-0.22,-0.11
2014-02-14 15:07:00,2.4,0.0,0,-0.11,-0.22,-0.11
2014-02-14 15:12:00,2.18,0.0,0,-0.11,-0.22,-0.11
2014-02-14 15:17:00,2.352,0.0,0,-0.11,-0.22,-0.11
2014-02-14 15:22:00,3.4339999999999997,0.0,0,-0.11,-0.22,-0.11
2014-02-14 15:27:00,2.43,0.0,0,-0.11,-0.22,-0.11
2014-02-14 15:32:00,2.0340000000000003,0.0,0,-0.11,-0.22,-0.11
2014-02-14 15:37:00,2.296,0.0,0,-0.11,-0.22,-0.11
2014-02-14 15:42:00,2.052,0.0,0,-0.11,-0.22,-0.11
2014-02-14 15:47:00,2.314,0.0,0,-0.11,-0.22,-0.11
2014-02-14 15:52:00,2.07,0.0,0,-0.11,-0.22,-0.11
2014-02-14 15:57:00,2.4,0.0,0,-0.11,-0.22,-0.11
2014-02-14 16:02:00,2.07,0.0,0,-0.11,-0.22,-0.11
2014-02-14 16:07:00,3.588,0.0,0,-0.11,-0.22,-0.11
2014-02-14 16:12:00,2.1919999999999997,0.0,0,-0.11,-0.22,-0.11
2014-02-14 16:17:00,2.3,0.0,0,-0.11,-0.22,-0.11
2014-02-14 16:22:00,2.134,0.0,0,-0.11,-0.22,-0.11
2014-02-14 16:27:00,2.2840000000000003,0.0,0,-0.11,-0.22,-0.11
2014-02-14 16:32:00,2.12,0.0,0,-0.11,-0.22,-0.11
2014-02-14 16:37:00,2.35,0.0,0,-0.11,-0.22,-0.11
2014-02-14 16:42:00,2.166,0.0,0,-0.11,-0.22,-0.11
2014-02-14 16:47:00,2.314,0.0,0,-0.11,-0.22,-0.11
2014-02-14 16:52:00,2.186,0.0,0,-0.11,-0.22,-0.11
2014-02-14 16:57:00,2.33,0.0,0,-0.11,-0.22,-0.11
2014-02-14 17:02:00,2.108,0.0,0,-0.11,-0.22,-0.11
2014-02-14 17:07:00,2.3280000000000003,0.0,0,-0.11,-0.22,-0.11
2014-02-14 17:12:00,3.4339999999999997,0.0,0,-0.11,-0.22,-0.11
2014-02-14 17:17:00,2.424,0.0,0,-0.11,-0.22,-0.11
2014-02-14 17:22:00,2.158,0.0,0,-0.11,-0.22,-0.11
2014-02-14 17:27:00,2.342,0.0,0,-0.11,-0.22,-0.11
2014-02-14 17:32:00,2.056,0.0,0,-0.11,-0.22,-0.11
2014-02-14 17:37:00,2.376,0.0,0,-0.11,-0.22,-0.11
2014-02-14 17:42:00,2.106,0.0,0,-0.11,-0.22,-0.11
2014-02-14 17:47:00,2.408,0.0,0,-0.11,-0.22,-0.11
2014-02-14 17:52:00,2.156,0.0,0,-0.11,-0.22,-0.11
2014-02-14 17:57:00,2.464,0.0,0,-0.11,-0.22,-0.11
2014-02-14 18:02:00,2.224,0.0,0,-0.11,-0.22,-0.11
2014-02-14 18:07:00,2.428,0.0,0,-0.11,-0.22,-0.11
2014-02-14 18:12:00,2.234,0.0,0,-0.11,-0.22,-0.11
2014-02-14 18:17:00,2.408,0.0,0,-0.11,-0.22,-0.11
2014-02-14 18:22:00,3.372,0.0,0,-0.11,-0.22,-0.11
2014-02-14 18:27:00,2.318,0.0,0,-0.11,-0.22,-0.11
2014-02-14 18:32:00,2.166,0.0,0,-0.11,-0.22,-0.11
2014-02-14 18:37:00,2.386,0.0,0,-0.11,-0.22,-0.11
2014-02-14 18:42:00,2.138,0.0,0,-0.11,-0.22,-0.11
2014-02-14 18:47:00,2.336,0.0,0,-0.11,-0.22,-0.11
2014-02-14 18:52:00,2.23,0.0,0,-0.11,-0.22,-0.11
2014-02-14 18:57:00,2.452,0.0,0,-0.11,-0.22,-0.11
2014-02-14 19:02:00,2.15,0.0,0,-0.11,-0.22,-0.11
2014-02-14 19:07:00,2.386,0.0,0,-0.11,-0.22,-0.11
2014-02-14 19:12:00,2.234,0.0,0,-0.11,-0.22,-0.11
2014-02-14 19:17:00,2.7319999999999998,0.0,0,-0.11,-0.22,-0.11
2014-02-14 19:22:00,2.9160000000000004,0.0,0,-0.11,-0.22,-0.11
2014-02-14 19:27:00,2.246,0.0,0,-0.11,-0.22,-0.11
2014-02-14 19:32:00,2.084,0.0,0,-0.11,-0.22,-0.11
2014-02-14 19:37:00,2.248,0.0,0,-0.11,-0.22,-0.11
2014-02-14 19:42:00,2.096,0.0,0,-0.11,-0.22,-0.11
2014-02-14 19:47:00,2.266,0.0,0,-0.11,-0.22,-0.11
2014-02-14 19:52:00,2.504,0.0,0,-0.11,-0.22,-0.11
2014-02-14 19:57:00,52.26600000000001,0.0,0,-0.11,-0.22,-0.11
2014-02-14 20:02:00,54.806000000000004,0.0,0,-0.11,-0.22,-0.11
2014-02-14 20:07:00,55.736000000000004,0.0,0,-0.11,-0.22,-0.11
2014-02-14 20:12:00,11.058,0.0,0,-0.11,-0.22,-0.11
2014-02-14 20:17:00,20.215999999999998,0.0,0,-0.11,-0.22,-0.11
2014-02-14 20:22:00,71.306,0.0,0,-0.11,-0.22,-0.11
2014-02-14 20:27:00,55.49800000000001,0.0,0,-0.11,-0.22,-0.11
2014-02-14 20:32:00,25.366,0.0,0,-0.11,-0.22,-0.11
2014-02-14 20:37:00,6.994,0.0,0,-0.11,-0.22,-0.11
2014-02-14 20:42:00,5.034,0.0,0,-0.11,-0.22,-0.11
