Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
zScore,reward_low_FP_rate,artificialNoAnomaly/art_daily_no_noise.csv,0.9999999922262099,0.0,0,3428,0,0,3428
zScore,reward_low_FP_rate,artificialNoAnomaly/art_daily_perfect_square_wave.csv,0.9999999922262099,0.0,0,3428,0,0,3428
zScore,reward_low_FP_rate,artificialNoAnomaly/art_daily_small_noise.csv,0.9999999922262099,0.0,0,3428,0,0,3428
zScore,reward_low_FP_rate,artificialNoAnomaly/art_flatline.csv,0.9999999922262099,0.0,0,3428,0,0,3428
zScore,reward_low_FP_rate,artificialNoAnomaly/art_noisy.csv,0.9999999922262099,0.0,0,3428,0,0,3428
zScore,reward_low_FP_rate,artificialWithAnomaly/art_daily_flatmiddle.csv,0.9999999922262099,-1.1926381302255864,0,3023,2,403,3428
zScore,reward_low_FP_rate,artificialWithAnomaly/art_daily_jumpsdown.csv,0.9999999922262099,-1.0,0,3025,0,403,3428
zScore,reward_low_FP_rate,artificialWithAnomaly/art_daily_jumpsup.csv,0.9999999922262099,-1.0,0,3025,0,403,3428
zScore,reward_low_FP_rate,artificialWithAnomaly/art_daily_nojump.csv,0.9999999922262099,-1.218293901119815,0,3023,2,403,3428
zScore,reward_low_FP_rate,artificialWithAnomaly/art_increase_spike_density.csv,0.9999999922262099,-1.0,0,3025,0,403,3428
zScore,reward_low_FP_rate,artificialWithAnomaly/art_load_balancer_spikes.csv,0.9999999922262099,-2.0976426875011525,0,3020,5,403,3428
zScore,reward_low_FP_rate,realAdExchange/exchange-2_cpc_results.csv,0.9999999922262099,-1.0,0,1218,0,163,1381
zScore,reward_low_FP_rate,realAdExchange/exchange-2_cpm_results.csv,0.9999999922262099,-2.0,0,1219,0,162,1381
zScore,reward_low_FP_rate,realAdExchange/exchange-3_cpc_results.csv,0.9999999922262099,-1.1205692398106724,1,1155,0,152,1308
zScore,reward_low_FP_rate,realAdExchange/exchange-3_cpm_results.csv,0.9999999922262099,0.862098587352162,1,1155,0,152,1308
zScore,reward_low_FP_rate,realAdExchange/exchange-4_cpc_results.csv,0.9999999922262099,0.7322576964241518,2,1232,0,163,1397
zScore,reward_low_FP_rate,realAdExchange/exchange-4_cpm_results.csv,0.9999999922262099,1.6047103626849761,4,1233,0,160,1397
zScore,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_24ae8d.csv,0.9999999922262099,-2.3949083207743636,1,3015,11,401,3428
zScore,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_53ea38.csv,0.9999999922262099,-2.0,0,3026,0,402,3428
zScore,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_5f5533.csv,0.9999999922262099,-2.0,0,3026,0,402,3428
zScore,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_77c1ca.csv,0.9999999922262099,-0.5406816397047811,2,3018,7,401,3428
zScore,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,0.9999999922262099,0.9440691203230551,1,3085,0,342,3428
zScore,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv,0.9999999922262099,0.8606718242697022,1,3025,0,402,3428
zScore,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_c6585a.csv,0.9999999922262099,-2.6400000000000006,0,3416,12,0,3428
zScore,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_fe7f93.csv,0.9999999922262099,-1.773586732097507,1,3020,3,404,3428
zScore,reward_low_FP_rate,realAWSCloudwatch/ec2_disk_write_bytes_1ef3de.csv,0.9999999922262099,-0.777110401731737,5,3540,8,468,4021
zScore,reward_low_FP_rate,realAWSCloudwatch/ec2_disk_write_bytes_c0d644.csv,0.9999999922262099,-3.4065487614626146,1,3012,11,404,3428
zScore,reward_low_FP_rate,realAWSCloudwatch/ec2_network_in_257a54.csv,0.9999999922262099,0.6371268814503882,2,3024,1,401,3428
zScore,reward_low_FP_rate,realAWSCloudwatch/ec2_network_in_5abac7.csv,0.9999999922262099,-2.881246194345207,2,3534,13,472,4021
zScore,reward_low_FP_rate,realAWSCloudwatch/elb_request_count_8c0756.csv,0.9999999922262099,-2.0,0,3026,0,402,3428
zScore,reward_low_FP_rate,realAWSCloudwatch/grok_asg_anomaly.csv,0.9999999922262099,-1.1379309642934778,1,3463,0,464,3928
zScore,reward_low_FP_rate,realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.9999999922262099,-2.0,0,931,0,126,1057
zScore,reward_low_FP_rate,realAWSCloudwatch/rds_cpu_utilization_cc0c53.csv,0.9999999922262099,-0.13844919792440225,1,3026,0,401,3428
zScore,reward_low_FP_rate,realAWSCloudwatch/rds_cpu_utilization_e47b3b.csv,0.9999999922262099,-0.13844919792440225,1,3026,0,401,3428
zScore,reward_low_FP_rate,realKnownCause/ambient_temperature_system_failure.csv,0.9999999922262099,-2.0,0,5791,0,726,6517
zScore,reward_low_FP_rate,realKnownCause/cpu_utilization_asg_misconfiguration.csv,0.9999999922262099,-1.0,0,15801,0,1499,17300
zScore,reward_low_FP_rate,realKnownCause/ec2_request_latency_system_failure.csv,0.9999999922262099,-1.1375963557887907,1,3082,0,345,3428
zScore,reward_low_FP_rate,realKnownCause/machine_temperature_system_failure.csv,0.9999999922262099,-4.0,0,19677,0,2268,21945
zScore,reward_low_FP_rate,realKnownCause/nyc_taxi.csv,0.9999999922262099,-5.0,0,8535,0,1035,9570
zScore,reward_low_FP_rate,realKnownCause/rogue_agent_key_hold.csv,0.9999999922262099,-2.66,0,1407,3,190,1600
zScore,reward_low_FP_rate,realKnownCause/rogue_agent_key_updown.csv,0.9999999922262099,-2.6879273713983993,5,4014,21,525,4565
zScore,reward_low_FP_rate,realTraffic/occupancy_6005.csv,0.9999999922262099,-1.0,0,1784,0,239,2023
zScore,reward_low_FP_rate,realTraffic/occupancy_t4013.csv,0.9999999922262099,-2.0,0,1875,0,250,2125
zScore,reward_low_FP_rate,realTraffic/speed_6005.csv,0.9999999922262099,-1.0,0,1886,0,239,2125
zScore,reward_low_FP_rate,realTraffic/speed_7578.csv,0.9999999922262099,-4.0,0,842,0,116,958
zScore,reward_low_FP_rate,realTraffic/speed_t4013.csv,0.9999999922262099,-2.0,0,1871,0,250,2121
zScore,reward_low_FP_rate,realTraffic/TravelTime_387.csv,0.9999999922262099,-1.3559813307852817,1,1875,1,248,2125
zScore,reward_low_FP_rate,realTraffic/TravelTime_451.csv,0.9999999922262099,-1.0,0,1621,0,217,1838
zScore,reward_low_FP_rate,realTweets/Twitter_volume_AAPL.csv,0.9999999922262099,-1.2072610910559387,6,13541,23,1582,15152
zScore,reward_low_FP_rate,realTweets/Twitter_volume_AMZN.csv,0.9999999922262099,-0.718620327808317,3,13499,2,1577,15081
zScore,reward_low_FP_rate,realTweets/Twitter_volume_CRM.csv,0.9999999922262099,-1.1395397014711486,1,13559,0,1592,15152
zScore,reward_low_FP_rate,realTweets/Twitter_volume_CVS.csv,0.9999999922262099,-0.16656833104520563,2,13574,3,1524,15103
zScore,reward_low_FP_rate,realTweets/Twitter_volume_FB.csv,0.9999999922262099,0.841513341325825,3,13497,4,1579,15083
zScore,reward_low_FP_rate,realTweets/Twitter_volume_GOOG.csv,0.9999999922262099,-1.2679674912461696,2,13659,1,1430,15092
zScore,reward_low_FP_rate,realTweets/Twitter_volume_IBM.csv,0.9999999922262099,1.2963522710392033,3,13549,4,1587,15143
zScore,reward_low_FP_rate,realTweets/Twitter_volume_KO.csv,0.9999999922262099,-1.366115576013856,4,13504,10,1583,15101
zScore,reward_low_FP_rate,realTweets/Twitter_volume_PFE.csv,0.9999999922262099,-4.22,0,13519,1,1588,15108
zScore,reward_low_FP_rate,realTweets/Twitter_volume_UPS.csv,0.9999999922262099,-4.804855060136148,5,13506,25,1580,15116
Totals,,,,-73.41168792079552,63,299174,173,33432,332842
